campus_id,campus_name,hospital_name,province,province_en,city,city_en,evidence_year,bed_value,status_event,source_urls
P2C000239,中国科学院大学深圳医院（光明）主院区,中国科学院大学深圳医院（光明）,广东省,Guangdong,深圳市,Shenzhen,2024,1350,,https://baike.sogou.com/v183557386.htm|https://fzzk.xmf.io/jig/3093.html
P2C000241,广州医科大学附属口腔医院主院区,广州医科大学附属口腔医院,广东省,Guangdong,广州市,Guangzhou,2018,70,,https://www.gz.gov.cn/gzgov/756/201804/b3d6b42351c44de799f44dbe4b9141e0/files/3462ea23b91246c4a8e581d62a737182.pdf
P2C000241,广州医科大学附属口腔医院主院区,广州医科大学附属口腔医院,广东省,Guangdong,广州市,Guangzhou,2022,70,,https://www.med66.com/kouqiangyishi/kaoshishijian/ta2206171941.shtml
P2C000242,广州医科大学附属第五医院主院区,广州医科大学附属第五医院,广东省,Guangdong,广州市,Guangzhou,2017,1200,,https://www.gzhmu.edu.cn/info/1192/1335.htm
P2C000242,广州医科大学附属第五医院主院区,广州医科大学附属第五医院,广东省,Guangdong,广州市,Guangzhou,2018,1200,,https://www.gzhmu.edu.cn/info/1192/1335.htm
P2C000242,广州医科大学附属第五医院主院区,广州医科大学附属第五医院,广东省,Guangdong,广州市,Guangzhou,2024,1200,,https://www.gyfwyy.com/Upload/file/202307/22be07a06406a8e1d4c09c1b9f3539194531760.pdf|https://www.gzhmu.edu.cn/info/1192/23721.htm
P2C000244,广州医科大学附属第四医院主院区,广州医科大学附属第四医院,广东省,Guangdong,广州市,Guangzhou,2024,1200,,https://www.gzhmu.edu.cn/info/1192/23241.htm
P2C000245,英德市人民医院主院区,英德市人民医院,广东省,Guangdong,清远市,Qingyuan,2023,1150,,https://www.yingde.gov.cn/zwgk/rsxx/zpxx/content/post_1754315.html
P2C000245,英德市人民医院主院区,英德市人民医院,广东省,Guangdong,清远市,Qingyuan,2024,1150,,https://www.yingde.gov.cn/zwgk/rsxx/zpxx/content/post_1824914.html
P2C000246,信宜市人民医院主院区,信宜市人民医院,广东省,Guangdong,茂名市,Maoming,2024,1230,,https://www.xysrmyy.cn/contents/724/4648.html|https://yzp.cn/company/23554.html
P2C000247,江门市中心医院主院区,江门市中心医院,广东省,Guangdong,江门市,Jiangmen,2019,2287,,https://9453job.com/a/174156.html
P2C000247,江门市中心医院主院区,江门市中心医院,广东省,Guangdong,江门市,Jiangmen,2020,2287,,https://mhos.51daifu.com/hos304/gba/1187.shtml|https://docs.cn-healthcare.com/sharedoc/pdf_files/20200803/2db8e04755c043e4aef8ca706237b4a3.pdf
P2C000247,江门市中心医院主院区,江门市中心医院,广东省,Guangdong,江门市,Jiangmen,2023,2278,,https://www.jiangmen.gov.cn/attachment/0/331/331368/3259305.pdf
P2C000248,中山市人民医院主院区,中山市人民医院,广东省,Guangdong,中山市,Zhongshan,2017,2000,,https://www.sohu.com/a/156136877_156406
P2C000248,中山市人民医院主院区,中山市人民医院,广东省,Guangdong,中山市,Zhongshan,2019,2000,,https://img2.yizhipin.com/uploads/file/20201201/1606802969871622.pdf
P2C000248,中山市人民医院主院区,中山市人民医院,广东省,Guangdong,中山市,Zhongshan,2020,2000,,https://wjj.zs.gov.cn/attachment/0/488/488644/2357450.pdf
P2C000248,中山市人民医院主院区,中山市人民医院,广东省,Guangdong,中山市,Zhongshan,2021,2000,,https://www.zs.gov.cn/zwgk/jdxx/zhxx/content/post_2030153.html
P2C000248,中山市人民医院主院区,中山市人民医院,广东省,Guangdong,中山市,Zhongshan,2023,2000,,https://oss.zsph.com/20240919/104712359.pdf
