legal_entity_id,hospital_legal_entity_name,aliases_or_campus_names,institution_category,province,province_en,city,city_en,tertiary_grade_a_analysis_start_year,primary_source_urls
LE001762,陕西省中医医院,陕西省中医药研究院,traditional_chinese_medicine_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001763,陕西省人民医院,陕西省人民医院(西咸院区),general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001765,陕西省康复医院,陕西省康复中心医院,specialized_hospital,陕西省,Shaanxi,西安市,Xi'an,2020,https://czt.shaanxi.gov.cn/xxgk/zdgk/zdly/snyjsgkpt/bmssdwyjs/bmssdwjsml2021/202309/P020250220337919103287.pdf
LE001766,陕西省肿瘤医院,陕西省第三人民医院,specialized_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001768,北京中医药大学孙思邈医院,,traditional_chinese_medicine_hospital,陕西省,Shaanxi,铜川市,Tongchuan,2018,https://www.bucm.edu.cn/xwgl/5dbbd1cc9f79459ba819198be930083b.htm
LE001769,铜川市人民医院,铜川市人民医院(南院),general_hospital,陕西省,Shaanxi,铜川市,Tongchuan,2018,https://fgw.tongchuan.gov.cn/resources/site/1/html/zfxxgk/fdzdgknr/ghjh/202109/8319.html
LE001771,铜川矿务局中心医院,,general_hospital,陕西省,Shaanxi,铜川市,Tongchuan,2018,https://fgw.tongchuan.gov.cn/resources/site/1/html/zfxxgk/fdzdgknr/ghjh/202109/8319.html
LE001773,西宁市第一人民医院,,general_hospital,青海省,Qinghai,西宁市,Xining,2014,https://www.cio360.net/show-589-3110-1.html
LE001774,西宁市第二人民医院,,general_hospital,青海省,Qinghai,西宁市,Xining,2023,https://zh.wikisource.org/wiki/%E9%9D%92%E6%B5%B7%E7%9C%81%E6%B5%B7%E4%B8%9C%E5%B8%82%E5%B9%B3%E5%AE%89%E5%8C%BA%E4%BA%BA%E6%B0%91%E6%B3%95%E9%99%A2%EF%BC%882023%EF%BC%89%E9%9D%920203%E6%B0%91%E5%88%9D1821%E5%8F%B7%E6%B0%91%E4%BA%8B%E5%88%A4%E5%86%B3%E4%B9%A6
LE001775,青海大学附属医院,,general_hospital,青海省,Qinghai,西宁市,Xining,2014,https://s.dayi.org.cn/mip/s/hospital/1126737.html
LE001776,青海省藏医院,青海大学院附属藏医院,ethnic_medicine_hospital,青海省,Qinghai,西宁市,Xining,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/e9835761eb68424d97e447a03d639bb9.shtml
LE001777,青海省中医院,,traditional_chinese_medicine_hospital,青海省,Qinghai,西宁市,Xining,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/e9835761eb68424d97e447a03d639bb9.shtml
LE001778,青海省人民医院,,general_hospital,青海省,Qinghai,西宁市,Xining,2014,https://shizhiku.com/p/detail/wpc2a44dca85/
LE001779,青海省妇女儿童医院,,specialized_hospital,青海省,Qinghai,西宁市,Xining,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/e9835761eb68424d97e447a03d639bb9.shtml
LE001781,青海省心脑血管病专科医院,,specialized_hospital,青海省,Qinghai,西宁市,Xining,2014,https://zyy.yilianmeiti.com/16239/
LE001782,青海省第三人民医院,,specialized_hospital,青海省,Qinghai,西宁市,Xining,2014,https://www.qhssyy.cn/rencaizhaopin/639.html
LE001783,青海省第五人民医院,,general_hospital,青海省,Qinghai,西宁市,Xining,2020,https://www.qhzlyy.com/list/picnews/2006.html
LE001784,青海红十字医院,青海省警官总医院,general_hospital,青海省,Qinghai,西宁市,Xining,2014,https://www.qhrch.cn/gkslstz/3487.html
LE001785,七台河市人民医院,,general_hospital,黑龙江省,Heilongjiang,七台河市,Qitaihe,2014,https://www.mpathology.org/Print.aspx?id=387
LE001786,伊春市林业中心医院,伊春林业中心医院,general_hospital,黑龙江省,Heilongjiang,伊春市,Yichun,2014,https://www.yc.gov.cn/ycsrmzf/c102233/202012/92980.shtml
LE001787,佳木斯市中医医院,佳木斯中医院,traditional_chinese_medicine_hospital,黑龙江省,Heilongjiang,佳木斯市,Jiamusi,2014,https://ljjk.org.cn/hosptail.do?id=390
LE001788,佳木斯大学附属第一医院,佳木斯大学第一附属医院,general_hospital,黑龙江省,Heilongjiang,佳木斯市,Jiamusi,2014,https://www.ljjk.org.cn/hosptail.do?id=382
LE001789,佳木斯大学附属口腔医院,佳木斯大学第二附属医院,specialized_hospital,黑龙江省,Heilongjiang,佳木斯市,Jiamusi,2014,https://kqyxyjx.jmsu.edu.cn/info/1105/1742.htm
LE001790,佳木斯市中心医院,,general_hospital,黑龙江省,Heilongjiang,佳木斯市,Jiamusi,2014,https://www.a-hospital.com/w/%E4%BD%B3%E6%9C%A8%E6%96%AF%E5%B8%82%E4%B8%89%E7%BA%A7%E7%94%B2%E7%AD%89%E5%8C%BB%E9%99%A2%E5%88%97%E8%A1%A8
LE001791,佳木斯市传染病院,,specialized_hospital,黑龙江省,Heilongjiang,佳木斯市,Jiamusi,2016,https://pdf.dfcfw.com/pdf/H2_AN201908261345081424_1.pdf
