Year,city_level,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2021,Large City,0.0,69.11915588378906,1390324,451281155.0,0.0,1390324,451281155.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,16.432416495458867,4.858721820670779,12.885832391936203,23.07961559639527,15.01409973169428,0.4910078058389957,0.4203117522246328,0.2548329086408577,11.397297323439087,,9.146978251207868,0.2726047875083113,0.1477069647163214,0.4203117522246327,0.0,64.85775999968223,35.14224000031777,80
2021,Medium/Small City,0.0,110.25078582763672,4447133,696062678.0,0.0,4447133,696062678.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.613136144340784,0.0,7.315428534709256,16.4212913913586,12.020696872870069,0.5814960890359371,0.6173134806986093,0.38253843252549136,25.68484270894926,,,0.4824385683273764,0.13487491237123272,0.6173134806986091,0.0,78.15130940950847,21.848690590491522,257
2021,Mega City,0.0,48.615509033203125,184399,128153469.0,0.0,184399,128153469.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,22.9136152274121,16.650246624300735,21.95967758025728,31.409147210578396,11.643757069730935,0.2877404612034369,0.1584945620527923,0.10496184052640378,4.189930278048111,6.469620263793332,2.41732181365824,0.11428744620428866,0.044207115848503786,0.15849456205279244,0.0,72.10811823702886,27.89188176297114,7
2021,Super City,0.0,70.73535919189453,247667,120245864.0,0.0,247667,120245864.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,32.73466534328838,20.5705881913503,35.426387786865234,46.374651120440795,17.228567617703582,0.29734617123801776,0.18006246726104938,0.12473853206519159,5.783054625479676,9.626645651745767,2.8133729485194556,0.1566428154364261,0.0234196518246228,0.1800624672610489,0.0,86.99359606648635,13.006403933513655,14
2021,,0.0,46.07774353027344,20988,2729840.0,0.0,20988,2729840.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.7795653764943085,0.0,3.89867162989999,12.609413822978532,9.651989546439818,0.6341313100429494,0.7372691772368024,0.44583939264786054,31.12083492072795,,,0.7372691772368034,0.0,0.7372691772368034,0.0,100.00000000000011,0.0,1
2022,Large City,0.0,73.36669158935547,1391190,455357258.0,0.0,1391190,455357258.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,16.93476991777386,5.247935461548139,13.439072197945766,23.78820452138295,15.214717929726143,0.48358274354732655,0.4077541571083515,0.24731795800596623,10.823136588722168,,8.383336178695297,0.2632814185646448,0.14447273854370613,0.40775415710835095,0.0,64.56866569595367,35.43133430404633,80
2022,Medium/Small City,0.0,107.47737884521484,4453375,702390269.0,0.0,4453375,702390269.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.944378479473722,0.016608839854598045,7.735361560176449,16.910782653652504,12.202448281911614,0.5752781827669519,0.6029863362180812,0.3746777154066435,24.89064879114947,,,0.46724816115677026,0.1357381750613107,0.602986336218081,0.0,77.48901311551137,22.510986884488627,257
2022,Mega City,0.0,48.93973922729492,184456,129311889.0,0.0,184456,129311889.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,23.469968448687666,16.88380721637181,22.6403866464422,31.929412482616645,11.81643035361639,0.2850722470410372,0.1566854660091068,0.10413408844528993,4.178681513190175,6.512953388982075,2.396726966346745,0.11357111484000804,0.043114351169098786,0.15668546600910682,0.0,72.48350324554487,27.51649675445514,7
2022,Super City,0.0,74.61660766601562,247842,121332618.0,0.0,247842,121332618.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,34.291855120554466,22.421340784134834,37.292828092437226,47.63670895886695,17.778616049999265,0.29101064407453137,0.17550154884144414,0.12204782067835218,5.693629721234565,9.097883563947216,2.674744437147408,0.15255567238236045,0.02294587645908308,0.17550154884144353,0.0,86.92554190515237,13.07445809484763,14
2022,,0.0,54.10791015625,20980,2755347.0,0.0,20980,2755347.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,8.035704019449474,0.0,4.206482285226116,12.625411857595099,9.867248251544298,0.6277899259335571,0.7206790939023313,0.4365826029566493,30.178195341639363,,,0.7206790939023326,0.0,0.7206790939023326,0.0,100.00000000000017,0.0,1
2023,Large City,0.0,71.6846694946289,1391666,456101968.0,0.0,1391666,456101968.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,18.063208492396367,5.866478706745619,14.345039450386038,25.217362084729597,16.047038887017585,0.47863984187276876,0.3987948864031215,0.24148112090391993,10.369623969699687,,7.691324884005977,0.2542020044753426,0.14459288192777864,0.3987948864031212,0.0,63.742543633917826,36.25745636608217,80
2023,Medium/Small City,0.0,106.41067504882812,4323259,703448846.0,0.0,4323259,703448846.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.590167394995282,0.28527914429680584,8.49422188839749,17.789886769282322,12.572846107016622,0.5633242937984813,0.5771520917738281,0.3604981693007663,23.54507992184552,,,0.4511019298969252,0.12605016187690277,0.577152091773828,0.0,78.15997487083547,21.84002512916453,257
2023,Mega City,0.0,53.577362060546875,184019,129539889.0,0.0,184019,129539889.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,24.932157169374683,17.951435874101563,23.986803624389328,34.256700328601305,12.347470600853418,0.27982914402233783,0.14730317093862916,0.09514810705787902,3.306664096338696,5.374617414202175,2.3560204317063405,0.10574051915472271,0.04156265178390628,0.147303170938629,0.0,71.78427896761126,28.215721032388743,7
2023,Super City,0.0,74.47916412353516,245383,121508890.0,0.0,245383,121508890.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,36.02840038483608,23.72139773304799,38.8010271056219,50.21201319897738,18.579826111097123,0.2918133422783119,0.17448026704654584,0.12123966950040177,5.4921043225726125,9.510342380197146,2.723812188511662,0.1492125470577932,0.02526771998875299,0.17448026704654618,0.0,85.51829360622637,14.481706393773635,14
2023,,0.0,62.40920639038086,20981,3098500.0,0.0,20981,3098500.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,8.365547358847408,0.0,4.3356991597075965,12.842427820262342,10.531220297817825,0.6356174399053127,0.7408734669805781,0.445118527177346,30.845925447797324,,,0.7408734669805774,0.0,0.7408734669805774,0.0,99.99999999999987,0.0,1
2024,Large City,0.0,77.50501251220703,1383955,457037612.0,0.0,1383955,457037612.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,19.341708776600044,6.7532093300413125,15.469298527909476,27.044211119897405,16.722264967491707,0.467305386411735,0.3786449476420623,0.22831281137826398,9.281332189351629,300.9172319279627,6.72296578623085,0.242952885600618,0.13569206204144413,0.37864494764206214,0.0,64.16377324286509,35.83622675713491,80
2024,Medium/Small City,0.0,101.67057800292969,4130072,704896398.0,0.0,4130072,704896398.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.337208495382612,0.715580325538867,9.318260010042339,18.792612075805664,13.029716523479667,0.5524066734467049,0.5536086595781299,0.34693730302648673,22.122459618526808,,,0.4326971284478587,0.12091153113027042,0.5536086595781291,0.0,78.15938586972074,21.840614130279253,257
2024,Mega City,0.0,56.377811431884766,183601,129799513.0,0.0,183601,129799513.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,25.963824179729166,18.27551385824629,26.026889806674703,35.26077621636394,12.863618584901486,0.28037420797992074,0.14639446678723547,0.09343318530034928,2.995779344719113,5.292392298249159,2.3318518680175537,0.09990078800361024,0.046493678783624315,0.14639446678723456,0.0,68.24082234528927,31.75917765471073,7
2024,Super City,0.0,73.54222106933594,241079,121756450.0,0.0,241079,121756450.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,37.51481495565221,25.77952764743245,40.08139836631044,52.34919773835907,18.96867637633506,0.2867478301498161,0.16864879273130232,0.11754748208730803,5.371085474321894,8.8251067151351,2.628873744936062,0.1439758552581596,0.02467293747314292,0.1686487927313025,0.0,85.37022585601738,14.62977414398261,14
2024,,0.0,62.6397819519043,20620,3101058.0,0.0,20620,3101058.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,8.924199998416979,0.0,4.73881296173157,14.046967028449563,11.041703068525907,0.6296012862738398,0.7241743982165487,0.4362263952739647,29.562136535337295,,,0.7241743982165487,0.0,0.7241743982165487,0.0,100.0,0.0,1
