Year,省级,省级码,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2017,重庆市,500000,0.0,39.29726028442383,109734,29751783.0,0.0,109734,29751783.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.419792346275873,1.4708986310000272,9.074087754735407,20.8553688847685,10.138676780000013,0.500353780462885,0.4612740035209492,0.30263603702706,17.524173257112018,,60.57329537870298,0.46127400352095993,0.0,0.46127400352095993,0.0,100.0000000000023,0.0,1
2017,陕西省,610000,0.0,72.74920654296875,281770,38565135.0,0.0,281770,38565135.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.689443667353856,0.0,8.902946472167969,20.732180541798435,12.617817295747287,0.5658542015625654,0.6191983678648841,0.4018777145897001,28.57083217782072,,,0.4012018481248725,0.21799651974001177,0.6191983678648842,0.0,64.79375091189178,35.206249088108216,10
2017,青海省,630000,0.0,49.38656997680664,306142,5819474.0,0.0,306142,5819474.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,18.985665948167238,0.0,3.9643021496859463,41.44212473884332,20.78988794934268,0.5856127088240044,0.7446417755651317,0.505056113641195,45.67048499572298,,,0.1807612169454722,0.5638805586196587,0.7446417755651309,0.0,24.27492290615674,75.72507709384327,8
2017,黑龙江省,230000,0.0,70.20442199707031,520535,39437380.0,0.0,520535,39437380.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,21.009732024446357,0.0,9.049731658795558,36.92217025463491,24.678697006230177,0.6248568508329635,0.749397517355723,0.47693286160460335,37.46081002338391,,,0.5946834032455621,0.15471411411016112,0.7493975173557232,0.0,79.35486700622181,20.645132993778198,13
2017,,,0.0,42.762332916259766,20286,2268962.0,0.0,20286,2268962.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,5.6779108330341765,0.0,1.5529677300002631,8.757180576256099,8.164425336676938,0.6950795824765295,0.9207460823038407,0.5385923173006347,42.61710861618661,,,0.920746082303842,0.0,0.920746082303842,0.0,100.00000000000011,0.0,1
2018,上海市,310000,0.0,20.662094116210938,8694,23904935.0,0.0,8694,23904935.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.284581001278337,16.20793626229022,18.76656793165198,19.93081390142393,4.029131087481523,0.10970187335848902,0.0389053834766172,0.02868285789784919,1.302517660056386,1.672865221716702,1.3049476018353356,0.03890538347661732,0.0,0.03890538347661732,0.0,100.0,0.0,1
2018,云南省,530000,0.0,78.38556671142578,477176,47680288.0,0.0,477176,47680288.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.364955107645006,0.0,0.0,20.490906878625253,16.491986739695122,0.7107162229529111,1.0116769331676052,0.6016607229454756,53.930869712867505,,,0.767444779041258,0.24423215412634747,1.0116769331676054,0.0,75.8586811541066,24.141318845893394,16
2018,内蒙古自治区,150000,0.0,56.75249481201172,894150,25912793.0,0.0,894150,25912793.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,13.756335845884132,0.0,3.5792890578606733,27.560771942138672,16.799577920280893,0.6416079761962049,0.8095698809633334,0.5184596504495402,45.15720478298113,,,0.6044727554057179,0.20509712555761572,0.8095698809633336,0.0,74.66591453308959,25.3340854669104,12
2018,北京市,110000,0.0,27.62637710571289,21492,20346533.0,0.0,21492,20346533.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,22.3723358051722,20.54684956405862,24.95784306112263,26.58509171064168,6.280034539352112,0.13535644961584048,0.055478380657740786,0.0381557309743249,0.8099021096124828,1.9773953151214334,1.4094314559406027,0.05547838065773947,0.0,0.05547838065773947,0.0,99.99999999999841,0.0,1
2018,吉林省,220000,0.0,57.63566207885742,244051,28459697.0,0.0,244051,28459697.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.666121491444134,0.0,4.712696445403979,20.244110960080576,16.447163080798155,0.6613863028635263,0.8285824353031183,0.5008572108891586,38.68421719317672,,,0.5742089430922808,0.2543734922108385,0.8285824353031193,0.0,69.30015875634857,30.699841243651438,9
