variable,year,x,density,bw_adjust,n_grid_rows,population_weight_sum
GDP_per,2023,188880.69346733668,1.812387708776128e-06,5.0,5176700,1330280904.0
GDP_per,2023,190210.83919597988,1.793133218312869e-06,5.0,5176700,1330280904.0
GDP_per,2023,191540.9849246231,1.770114075429593e-06,5.0,5176700,1330280904.0
GDP_per,2023,192871.13065326633,1.7429739621572812e-06,5.0,5176700,1330280904.0
GDP_per,2023,194201.27638190953,1.7114489221206703e-06,5.0,5176700,1330280904.0
GDP_per,2023,195531.42211055275,1.6753748915456425e-06,5.0,5176700,1330280904.0
GDP_per,2023,196861.56783919595,1.6346920830286907e-06,5.0,5176700,1330280904.0
GDP_per,2023,198191.71356783918,1.5894461301817038e-06,5.0,5176700,1330280904.0
GDP_per,2023,199521.8592964824,1.5397860270585902e-06,5.0,5176700,1330280904.0
GDP_per,2023,200852.0050251256,1.4859590172804527e-06,5.0,5176700,1330280904.0
GDP_per,2023,202182.15075376883,1.4283026984967653e-06,5.0,5176700,1330280904.0
GDP_per,2023,203512.29648241206,1.3672347034727742e-06,5.0,5176700,1330280904.0
GDP_per,2023,204842.44221105526,1.3032403959756068e-06,5.0,5176700,1330280904.0
GDP_per,2023,206172.58793969848,1.2368590749867262e-06,5.0,5176700,1330280904.0
GDP_per,2023,207502.7336683417,1.1686692128779287e-06,5.0,5176700,1330280904.0
GDP_per,2023,208832.8793969849,1.0992732621556641e-06,5.0,5176700,1330280904.0
GDP_per,2023,210163.02512562813,1.0292825514814224e-06,5.0,5176700,1330280904.0
GDP_per,2023,211493.17085427133,9.593027574169884e-07,5.0,5176700,1330280904.0
GDP_per,2023,212823.31658291456,8.899203860780589e-07,5.0,5176700,1330280904.0
GDP_per,2023,214153.46231155779,8.216906324850534e-07,5.0,5176700,1330280904.0
GDP_per,2023,215483.60804020098,7.551269085804567e-07,5.0,5176700,1330280904.0
GDP_per,2023,216813.7537688442,6.906922480619296e-07,5.0,5176700,1330280904.0
GDP_per,2023,218143.8994974874,6.287927114242255e-07,5.0,5176700,1330280904.0
GDP_per,2023,219474.04522613063,5.697728318135645e-07,5.0,5176700,1330280904.0
GDP_per,2023,220804.19095477386,5.13913065195818e-07,5.0,5176700,1330280904.0
GDP_per,2023,222134.33668341706,4.614291395843511e-07,5.0,5176700,1330280904.0
GDP_per,2023,223464.4824120603,4.124731401667237e-07,5.0,5176700,1330280904.0
GDP_per,2023,224794.6281407035,3.671361215284831e-07,5.0,5176700,1330280904.0
GDP_per,2023,226124.7738693467,3.254520055746506e-07,5.0,5176700,1330280904.0
